candidate_id,kept_raw_detection_id,suppressed_raw_detection_id,suppressed_tile_name,suppressed_confidence,iou_with_kept_candidate
C0117,R3018,R3022,38SMB_01245_r6960_c6480,0.6937309503555298,0.7742330975545118
C0119,R2826,R2695,38SMB_01150_r6480_c3840,0.7645062208175659,0.7173197236524946
C0119,R2826,R2704,38SMB_01151_r6480_c4080,0.7629380822181702,0.7186108406460078
C0119,R2826,R2834,38SMB_01193_r6720_c4080,0.7205227017402649,0.9819114539003913
C0123,R1966,R1875,38SMB_00778_r4320_c5280,0.6575583219528198,0.8188206756128922
C0131,R2163,R2160,38SMB_00905_r5040_c5520,0.7431856989860535,0.9350112138673654
C0133,R2046,R2051,38SMB_00862_r4800_c5280,0.7004149556159973,0.8710998889804356
C0137,R3795,R3801,38SMB_01417_r7920_c7440,0.7266402840614319,0.8469197005395065
C0140,R2124,R2108,38SMB_00898_r5040_c3840,0.7322295904159546,0.8545991316122539
C0140,R2124,R2205,38SMB_00941_r5280_c4080,0.726233184337616,0.9495519444774179
C0140,R2124,R2193,38SMB_00940_r5280_c3840,0.6888567209243774,0.8508594056337657
C0141,R1054,R1052,38SMB_00475_r2640_c3120,0.733169674873352,0.9919944553721124
C0142,R2391,R2390,38SMB_01031_r5760_c5520,0.7233781814575195,0.8632063750341287
C0145,R1094,R1096,38SMB_00492_r2640_c7200,0.7390928268432617,0.8281354890591901
C0148,R4094,R4103,38SMB_01489_r8400_c4560,0.7133610248565674,0.8247081845846587
C0152,R2775,R2776,38SMB_01175_r6480_c9680,0.3577028512954712,0.7243509278187933
C0153,R4212,R4200,38SMB_01524_r8640_c2880,0.7165038585662842,0.8294093070843624
C0155,R0621,R0537,38SMB_00269_r1440_c4080,0.6940422058105469,0.8001955456786178
C0156,R2310,R2417,38SMB_01045_r5760_c8880,0.7346854209899902,0.9709018343861415
C0157,R2749,R2743,38SMB_01155_r6480_c5040,0.6207848191261292,0.8720331414440611
C0158,R3456,R3457,38SMB_01349_r7680_c1200,0.7243775725364685,0.9864904173053001
C0160,R4268,R4259,38SMB_01530_r8640_c4320,0.7228947281837463,0.9925530375049706
C0163,R3970,R4125,38SMB_01498_r8400_c6720,0.5753645896911621,0.7851670049152725
C0165,R0618,R0716,38SMB_00351_r1920_c3600,0.650947093963623,0.9291852452480691
C0168,R1333,R1428,38SMB_00643_r3600_c3120,0.7141703963279724,0.9691418326243069
C0168,R1333,R1344,38SMB_00602_r3360_c3360,0.6112689971923828,0.7108377195908478
C0168,R1333,R1438,38SMB_00644_r3600_c3360,0.5952200889587402,0.7417855344393937
C0169,R2192,R2265,38SMB_00982_r5520_c3840,0.7201507091522217,0.9945889231469434
C0170,R0639,R0566,38SMB_00295_r1680_c240,0.7085429430007935,0.9436338995886577
C0172,R3539,R3338,38SMB_01320_r7440_c4320,0.7277364730834961,0.9044408946525858
C0172,R3539,R3325,38SMB_01319_r7440_c4080,0.721590518951416,0.9052522663132874
C0172,R3539,R3535,38SMB_01361_r7680_c4080,0.7174760699272156,0.9853946826868519
C0177,R0800,R0805,38SMB_00390_r2160_c2880,0.7149531245231628,0.9688963380261449
C0179,R2498,R2613,38SMB_01113_r6240_c5040,0.651351273059845,0.7677462123458924
C0179,R2498,R2491,38SMB_01070_r6000_c4800,0.5436967015266418,0.7084603273686579
C0180,R1391,R1393,38SMB_00622_r3360_c8160,0.7144677639007568,0.9667577825715096
C0180,R1391,R1295,38SMB_00580_r3120_c8160,0.705405056476593,0.9467785327374828
C0180,R1391,R1290,38SMB_00579_r3120_c7920,0.7024298310279846,0.8785017253839128
C0182,R4722,R4716,38SMB_01653_r9360_c3600,0.7139971256256104,0.9893618425026819
C0183,R3516,R3718,38SMB_01401_r7920_c3600,0.7223625779151917,0.9906094499571235
C0187,R3224,R3219,38SMB_01296_r7200_c8640,0.7105333805084229,0.9874690467622197
C0188,R1593,R1589,38SMB_00690_r3840_c4320,0.710608720779419,0.9860026349231202
C0191,R1783,R1901,38SMB_00810_r4560_c2880,0.6396206617355347,0.7148495936170075
C0194,R0060,R0051,38SMB_00005_r0_c1200,0.6953368186950684,0.8378699075825026
C0195,R4742,R4574,38SMB_01616_r9120_c4800,0.6587878465652466,0.9375661442077046
C0196,R2227,R2154,38SMB_00904_r5040_c5280,0.7088760137557983,0.9474366222705869
C0198,R0513,R0584,38SMB_00302_r1680_c1920,0.6928825378417969,0.734082367556284
C0200,R2399,R2395,38SMB_01035_r5760_c6480,0.6893893480300903,0.9844150857611799
C0201,R0904,R1041,38SMB_00472_r2640_c2400,0.7051306962966919,0.9734204449612208
C0201,R0904,R0909,38SMB_00431_r2400_c2640,0.6770503520965576,0.8160463278259291
C0201,R0904,R1046,38SMB_00473_r2640_c2640,0.6456781029701233,0.8279443890236864
C0202,R0872,R0775,38SMB_00384_r2160_c1440,0.6907650828361511,0.9905460651630723
